Sl No,VIN,ECU Under Test,Deployment Status,Deployment start time,Deployment end time
1,MD2B35304NCC17661,TEL,UPDATE SKIPPED,2022-07-01T13:57:42Z,2022-07-01T13:59:48Z
2,MD2B35307NCC16634,TEL,REQUEST_PENDING,2022-07-01T13:40:35Z,None
3,MD2B35300NCC16894,TEL,UPDATE SKIPPED,2022-07-01T12:05:15Z,2022-07-01T12:07:16Z
4,MD2B35302NCB15646,TEL,UPDATE SKIPPED,2022-07-01T11:47:42Z,2022-07-01T11:52:08Z
5,MD2B35304NCC16896,TEL,UPDATE SKIPPED,2022-07-01T11:37:17Z,2022-07-01T12:58:13Z
6,MD2B35301NCC17861,TEL,UPDATE SKIPPED,2022-07-01T11:26:54Z,2022-07-01T11:29:04Z
7,MD2B35309NCC17672,TEL,UPDATE SKIPPED,2022-07-01T11:22:50Z,2022-07-01T11:24:57Z
8,MD2B35308NCC17677,TEL,UPDATE SKIPPED,2022-07-01T11:18:46Z,2022-07-01T11:20:49Z
9,MD2B35309NCC17641,TEL,UPDATE SKIPPED,2022-07-01T11:15:04Z,2022-07-01T11:18:10Z
10,MD2B35300NCC17673,TEL,UPDATE SKIPPED,2022-07-01T11:06:59Z,2022-07-01T11:10:06Z
11,MD2B35307NCC17671,TEL,UPDATE SKIPPED,2022-07-01T11:06:56Z,2022-07-01T11:09:02Z
12,MD2B35305NCC17863,TEL,UPDATE SKIPPED,2022-07-01T10:56:19Z,2022-07-01T11:01:39Z
13,MD2B35309NCC17669,TEL,REQUEST_PENDING,2022-07-01T10:55:31Z,None
14,MD2B35302NCC17643,TEL,UPDATE SKIPPED,2022-07-01T10:50:20Z,2022-07-01T10:53:23Z
15,MD2B35302NCC17674,TEL,UPDATE SKIPPED,2022-07-01T10:43:44Z,2022-07-01T10:47:51Z
16,MD2B3530XNCC17664,TEL,UPDATE SKIPPED,2022-07-01T10:42:05Z,2022-07-01T10:45:45Z
17,MD2B35300NCC17866,TEL,UPDATE SKIPPED,2022-07-01T10:35:35Z,2022-07-01T10:38:42Z
18,MD2B35305NCB15348,TEL,UPDATE SKIPPED,2022-07-01T10:33:02Z,2022-07-01T10:35:08Z
19,MD2B35304NCC17675,TEL,UPDATE SKIPPED,2022-07-01T10:24:27Z,2022-07-01T10:26:32Z
20,MD2B35302NCC17951,TEL,UPDATE SKIPPED,2022-07-01T10:16:16Z,2022-07-01T10:21:36Z
21,MD2B3530XNCC16658,TEL,UPDATE SKIPPED,2022-07-01T10:08:39Z,2022-07-01T10:11:41Z
22,MD2B35304NCC16655,TEL,UPDATE SKIPPED,2022-07-01T10:08:01Z,2022-07-01T10:11:08Z
23,MD2B35307NCC18383,TEL,UPDATE SKIPPED,2022-07-01T09:48:03Z,2022-07-01T12:21:12Z
24,MD2B35305NCC18172,TEL,REQUEST_PENDING,2022-07-01T09:30:09Z,None
25,MD2B35308NCC18201,TEL,REQUEST_PENDING,2022-07-01T09:11:43Z,None
26,MD2B35306NCC18200,TEL,REQUEST_PENDING,2022-07-01T09:06:31Z,None
27,MD2B35303NCC18199,TEL,UPDATE SKIPPED,2022-07-01T08:58:19Z,2022-07-01T09:02:28Z
28,MD2B35301NCC18198,TEL,UPDATE SKIPPED,2022-07-01T08:54:03Z,2022-07-01T08:56:09Z
29,MD2B3530XNCC18197,TEL,REQUEST_PENDING,2022-07-01T08:50:10Z,None
30,MD2B35308NCC18196,TEL,UPDATE SKIPPED,2022-07-01T08:46:59Z,2022-07-01T09:12:09Z
